Timetable Code,Timetable Name,Trackernet Code,Trackernet Name,ATCO Code,NaPTAN Name
HOL,Holborn,HOL,Holborn,9400ZZLUHBN,Holborn Underground Station
HPC,Hyde Park Corner,HPC,Hyde Park Corner,9400ZZLUHPC,Hyde Park Corner Underground Station
HPK,Holland Park,HPK,Holland Park,9400ZZLUHPK,Holland Park Underground Station
HRC,Heathrow Terminals 1 2 3,HRC,Heathrow Terminals 123,9400ZZLUHRC,Heathrow Terminals 2 & 3 Underground Station
HRD,Holloway Road,HRD,Holloway Road,9400ZZLUHWY,Holloway Road Underground Station
HRF,Heathrow Terminal 4,HRF,Heathrow Terminal 4,9400ZZLUHR4,Heathrow Terminal 4 Underground Station
HRV,Heathrow Terminal 5,HRV,Heathrow Terminal 5,9400ZZLUHR5,Heathrow Terminal 5 Underground Station
HSD,Harlesden,HSD,Harlesden,9400ZZLUHSN,Harlesden Underground Station
HSL,Headstone Lane,HSL,Headstone Lane,9100HEDSTNL,Headstone Lane Rail Station
HST,High Street Kensington,HST,High Street Kensington,9400ZZLUHSK,High Street Kensington Underground Station
HTX,Hatton Cross,HTX,Hatton Cross,9400ZZLUHNX,Hatton Cross Underground Station
ICK,Ickenham,ICK,Ickenham,9400ZZLUICK,Ickenham Underground Station
KBY,Kingsbury,KBY,Kingsbury,9400ZZLUKBY,Kingsbury Underground Station
KEN,Kennington,KEN,Kennington,9400ZZLUKNG,Kennington Underground Station
KEW,Kew Gardens,KEW,Kew Gardens,9400ZZLUKWG,Kew Gardens Underground Station
KGJ,Kensal Green Junction (NR),,,,
KGN,Kensal Green,KGN,Kensal Green,9400ZZLUKSL,Kensal Green Underground Station
KHR,Kilburn High Road,,,9100KLBRNHR,Kilburn High Road Rail Station
KIL,Kilburn,KIL,Kilburn,9400ZZLUKBN,Kilburn Underground Station
KNB,Knightsbridge,KNB,Knightsbridge,9400ZZLUKNB,Knightsbridge Underground Station
KNT,Kenton,KNT,Kenton,9400ZZLUKEN,Kenton Underground Station
KPK,Kilburn Park,KPK,Kilburn Park,9400ZZLUKPK,Kilburn Park Underground Station
KTN,Kentish Town,KTN,Kentish Town,9400ZZLUKSH,Kentish Town Underground Station
KXX,King's Cross,KXX,King's Cross St. Pancras,9400ZZLUKSX,King's Cross St. Pancras Underground Station
LAM,Lambeth North,LAM,Lambeth North,9400ZZLULBN,Lambeth North Underground Station
LAN,Lancaster Gate,LAN,Lancaster Gate,9400ZZLULGT,Lancaster Gate Underground Station
LAT,Latimer Road,LAT,Latimer Road,9400ZZLULRD,Latimer Road Underground Station
